x,y,English Name,Type
114.1937685,22.27966369,"Lai Tak Tsuen Road,  Outside Lai Kit Lau",GMB
114.1938736,22.27686489,"Tai Hang Road,  Outside Kan Oke House",GMB
114.1854901,22.28092953,"Paterson Street,  Outside Pearl City Mansion",GMB
114.1933687,22.27708261,No. 9 Tai Hang Road,GMB
114.196198,22.28503751,Cloud View Road,GMB
114.1996184,22.2852239,"Braemar Hill Road,  Opposite to Oxford Court",GMB
114.1845311,22.26381644,Hong Kong Adventist Hospital,GMB
114.1822135,22.26598854,Evergreen Villa,GMB
114.1802746,22.2662928,Victoria Heights,GMB
114.1796691,22.26606151,Bradbury Junior School,GMB
114.1839722,22.26585058,Stubbs Road (opposite Villa Monte Rosa),GMB
114.1829648,22.27744037,77 Leighton Road (outside Leighton Centre),GMB
114.183944,22.27825454,54-70 Lee Garden Road (outside Phoenix Apartments),GMB
114.1850292,22.27794721,Hoi Ping Road (outside Sunning Plaza),GMB
114.1843521,22.2775556,50 Leighton Road,GMB
114.1822705,22.27702264,Leighton Road near Wong Nai Chung Road (opposite First Commercial Building),GMB
114.1565977,22.24415824,No.14 Wai Fung Street,GMB
114.1537446,22.24341996,Main Street Ap Lei Chau near Ap Lei Chau Clinic,GMB
114.1559021,22.2470581,"Aberdeen Praya Road,  Outside Aberdeen Promenade",GMB
114.1579345,22.2473431,Aberdeen Main Road outside Yip Yue Mansion,GMB
114.1546577,22.24399779,Yuet Hoi Street opposite to Tung Nam Building,GMB
114.1579345,22.2473431,Aberdeen Main Road outside Yip Yue Mansion (No.48-50),GMB
114.1592979,22.24762064,"Aberdeen Praya Road,  Outside Ocean Court (Near Lamp Post No.23716)",GMB
