stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Hang Hau Road,  Opposite Tseung Kwan O Hospital","Po Ning Road,  opposite to Tseung Kwan O Hospital",114.0,57.0,114.0,57.0
"Po Shun Road,  Outside Chung Ming Court","Kwun Tong Road,  Outside New City Centre",114.0,57.0,114.0,57.0
"Kwun Tong Road,  Outside New City Centre",Hoi Yuen Raod No. 62,114.0,57.0,114.0,57.0
Hoi Yuen Raod No. 62,No.54 Hoi Yuen Road,114.0,57.0,114.0,57.0
No.54 Hoi Yuen Road,Kwun Tong Ferry Pier Light Bus Terminus,114.0,57.0,114.0,57.0
Kwun Tong Ferry Pier Light Bus Terminus,No.57 King Yip Street,114.0,57.0,114.0,57.0
No.57 King Yip Street,"Kwun Tong Road,  Outside New City Centre",114.0,57.0,114.0,57.0
"Kwun Tong Road,  Outside New City Centre","Tseung Kwan O Road,  Outside Kwun Tong Recreation Ground",114.0,57.0,114.0,57.0
"Tseung Kwan O Road,  Outside Kwun Tong Recreation Ground","Po Shun Road,  Outside Tseung Kwan O Swimming Pool",114.0,57.0,114.0,57.0
"Po Shun Road,  Outside Tseung Kwan O Swimming Pool","Po Ning Road,  Opposite Hau Tak Estate",304.0,199.5,304.0,133.0
"Po Ning Road,  Opposite Hau Tak Estate","Po Ning Road,  Outside Tseung Kwan O Hospital",114.0,57.0,114.0,57.0
"Po Ning Road,  Outside Tseung Kwan O Hospital","Hang Hau Road,  Outside Tseung Kwan O Hospital",114.0,57.0,114.0,57.0
"Hang Hau Road,  Outside Tseung Kwan O Hospital",Clear Water Bay Road No. 328,114.0,57.0,114.0,57.0
Clear Water Bay Road No. 328,"Clear Water Bay Road,  Outside Golden Cove Lookout Phase I",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Outside Golden Cove Lookout Phase I","Clear Water Bay Road Southbound,  Near Mang Kung Uk Road",114.0,57.0,114.0,57.0
"Clear Water Bay Road Southbound,  Near Mang Kung Uk Road",Clear Water Bay Second Beach GMB Stand,114.0,57.0,114.0,57.0
Tseung Kwan O Station Public Transport Interchange,"Tong Yin Street,  Outside Pkl Wong Wing Shu Primary School",162.8571429,57.0,162.8571429,57.0
"Tong Yin Street,  Outside Pkl Wong Wing Shu Primary School","Tong Ming Street,  Outside Sheung Ming House,  Sheung Tak Estate",162.8571429,57.0,162.8571429,57.0
"Tong Ming Street,  Outside Sheung Ming House,  Sheung Tak Estate","Chiu Shun Road,  Outside Yuk Ming Court",162.8571429,57.0,162.8571429,57.0
"Chiu Shun Road,  Outside Yuk Ming Court","Hang Hau Road,  Outside Tseung Kwan O Hospital",162.8571429,57.0,162.8571429,57.0
"Hang Hau Road,  Outside Tseung Kwan O Hospital",Clear Water Bay Second Beach GMB Stand,162.8571429,57.0,162.8571429,57.0
Clear Water Bay Apartments,"Clear Water Bay Road,  Near Sheung Sze Wan Road",162.8571429,57.0,162.8571429,57.0
"Clear Water Bay Road,  Near Ha Yeung Road","Clear Water Bay Road,  Near High Junk Peak Country Trail",162.8571429,57.0,162.8571429,57.0
"Clear Water Bay Road,  Opposite Silverstand Mart","Chiu Shun Road,  outside Tin Ha Wan Village",162.8571429,57.0,162.8571429,57.0
"Chiu Shun Road,  outside Tin Ha Wan Village",Po Yap Road outside Bauhinia Garden,162.8571429,57.0,162.8571429,57.0
Po Yap Road outside Bauhinia Garden,Tseung Kwan O Station Public Transport Interchange,162.8571429,57.0,162.8571429,57.0
Hong Kong University of Science and Technology (South Station),"TVB City,  Outside Shaw House",87.69230769,57.0,45.6,45.6
"TVB City,  Outside Shaw House","Clear Water Bay Road,  Outside Tai Po Tsai Tsuen",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Outside Tai Po Tsai Tsuen","Clear Water Bay Road,  Opposite Las Pinadas",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Opposite Las Pinadas","Clear Water Bay Road,  Opposite Pik Uk Correctional Institute",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Opposite Pik Uk Correctional Institute","Clear Water Bay Road,  Opposite Gold Villa",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Opposite Gold Villa",No.75b Clear Water Bay Road,87.69230769,57.0,45.6,45.6
No.75b Clear Water Bay Road,No.206 Clear Water Bay Road,87.69230769,57.0,45.6,45.6
No.206 Clear Water Bay Road,"Clear Water Bay Road,  Near Lung Wo Tsuen",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Near Lung Wo Tsuen","Shun Lee Tsuen Road,  Outside Lee Hong House,  Shun Lee Estate",87.69230769,57.0,45.6,45.6
"Shun Lee Tsuen Road,  Outside Lee Hong House,  Shun Lee Estate","Shun Lee Tsuen Road,  Outside On Chung House,  Shun On Estate",201.69230769,133.0,159.6,121.6
"Shun Lee Tsuen Road,  Outside On Chung House,  Shun On Estate","Ngau Tau Kok Road,  Outside Block 2,  Yue Man Centre",87.69230769,57.0,45.6,45.6
"Ngau Tau Kok Road,  Outside Block 2,  Yue Man Centre","Hong Ning Road,  Outside Hong Ning Court",87.69230769,57.0,45.6,45.6
"Hong Ning Road,  Outside Hong Ning Court","Hong Ning Road,  Outside Kwun Tong Peace Clinic",87.69230769,57.0,45.6,45.6
"Hong Ning Road,  Outside Kwun Tong Peace Clinic","Hong Ning Road,  Opposite Sau Mau Ping District Police Headquarter And Divisional Police Station",87.69230769,57.0,45.6,45.6
"Hong Ning Road,  Opposite Sau Mau Ping District Police Headquarter And Divisional Police Station","Shun Lee Tsuen Road,  Opposite Carmel Leung Sing Tak School",87.69230769,57.0,45.6,45.6
"Shun Lee Tsuen Road,  Opposite Carmel Leung Sing Tak School","Shun Lee Tsuen Road,  Outside Shun Lee Tsuen Leisure Centre",201.69230769,133.0,159.6,121.6
"Shun Lee Tsuen Road,  Outside Shun Lee Tsuen Leisure Centre","Clear Water Bay Road,  Outside Man King Terrace",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Outside Man King Terrace","Clear Water Bay Road,  Outside Gold Villa",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Outside Gold Villa","Clear Water Bay Road,  Outside Pik Uk Correctional Institute",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Outside Pik Uk Correctional Institute","Clear Water Bay Road,  Outside Las Pinadas",486.69230769,418.0,444.6,406.6
"Clear Water Bay Road,  Outside Las Pinadas","Clear Water Bay Road,  Opposite Tai Po Tsai Tsuen",87.69230769,57.0,45.6,45.6
"Clear Water Bay Road,  Opposite Tai Po Tsai Tsuen",Hong Kong University of Science and Technology (South Station),87.69230769,57.0,45.6,45.6
416 Ma Tau Wai Road,"Po Lam Road North,  Po Lam Fire Station",57.0,57.0,0.0,0.0
"Po Lam Road North,  Po Lam Fire Station","Hong Sing Garden Bus Terminus,  Outside King Ling College",57.0,57.0,0.0,0.0
"Hong Sing Garden Bus Terminus,  Outside King Ling College",Po Lam Road North opposite Ming On House of Ying Ming Court,57.0,57.0,0.0,0.0
Po Lam Road North opposite Ming On House of Ying Ming Court,"Po Lam Road North,  Outside Hong Sing Garden",57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Hong Sing Garden","Ma Tau Wai Road,  Outside Ma Tau Wai Road Playground",57.0,57.0,0.0,0.0
"Ma Tau Wai Road,  Outside Ma Tau Wai Road Playground","Po Lam Road North,  Outside Yuk King House,  King Ming Court",57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Yuk King House,  King Ming Court",No.65 Ma Tau Chung Road,57.0,57.0,0.0,0.0
No.65 Ma Tau Chung Road,Po Fung Road outside Yan Ming Court,57.0,57.0,0.0,0.0
Po Fung Road outside Yan Ming Court,"Ma Tau Chung Road,  Outside Argyle Street Playground",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Argyle Street Playground","Po Lam Road North,  opposite to Po Yan House",57.0,57.0,0.0,0.0
"Po Lam Road North,  opposite to Po Yan House",Po Fung Road outside Verbena Heights,57.0,57.0,0.0,0.0
Po Fung Road outside Verbena Heights,"Prince Edward Road East,  Opposite Kai Tak Government Building",57.0,57.0,0.0,0.0
"Prince Edward Road East,  Opposite Kai Tak Government Building","Po Lam Road North,  Opposite Lok Sin Tong Lau Tak Primary School",57.0,57.0,0.0,0.0
"Po Lam Road North,  Opposite Lok Sin Tong Lau Tak Primary School",Po Hong Road outside Metro City,57.0,57.0,0.0,0.0
Po Hong Road outside Metro City,"Po Fung Road,  outside STFA Leung Kit Wah Primary School",57.0,57.0,0.0,0.0
"Po Fung Road,  outside STFA Leung Kit Wah Primary School","Po Hong Road,  Outside Po Hong Park",57.0,57.0,0.0,0.0
"Po Hong Road,  Outside Po Hong Park","Prince Edward Road East,  outside the Latitude",57.0,57.0,0.0,0.0
"Prince Edward Road East,  outside the Latitude",Po Hong Road near Mobil Petrol Station,57.0,57.0,0.0,0.0
Po Hong Road near Mobil Petrol Station,Prince Edward Road East Opposite Rhythm Garden,57.0,57.0,0.0,0.0
Prince Edward Road East Opposite Rhythm Garden,"Po Hong Road,  Outside Metro City",57.0,57.0,0.0,0.0
"Po Hong Road,  Outside Metro City",Po Fung Road opposite Verbena Heights,57.0,57.0,0.0,0.0
Po Fung Road opposite Verbena Heights,"Prince Edward Road East,  opposite to the Latitude",57.0,57.0,0.0,0.0
"Prince Edward Road East,  opposite to the Latitude","Po Hong Road,  Outside Po Hong Park",57.0,57.0,0.0,0.0
