stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Wang Pok Street,  bus lay-by outside Lucky Plaza","Pai Tau Street,  outside Shatin Station",162.8571429,126.6666667,162.8571429,126.6666667
Cyberport Public Transport Interchange,"Opposite to Cyberport 3,  Cyberport Road",114.0,38.0,114.0,38.0
"Opposite to Cyberport 3,  Cyberport Road","Cyperport Road,  Opposite to Bel-air Phase 1",114.0,38.0,114.0,38.0
"Cyperport Road,  Opposite to Bel-air Phase 1","Bel-Air on the Peak,  Cyberport Road",304.0,95.0,276.8571429,95.0
"Bel-Air on the Peak,  Cyberport Road","Victoria Road,  Near Department Of Health Institute Of Immunology",304.0,95.0,276.8571429,95.0
"Victoria Road,  Near Department Of Health Institute Of Immunology","Shek Pai Wan Road,  Outside Man King Building",114.0,38.0,114.0,38.0
"Shek Pai Wan Road,  Outside Man King Building","Outside Aberdeen Bus Terminus,  Aberdeen Praya Road",114.0,38.0,114.0,38.0
"Outside Aberdeen Bus Terminus,  Aberdeen Praya Road","48-50 Aberdeen Main Road,  Outside Yip Yee Mansion",114.0,38.0,114.0,38.0
"48-50 Aberdeen Main Road,  Outside Yip Yee Mansion","Yip Kan Street,  Wong Chuk Hang Road",304.0,95.0,276.8571429,95.0
Aberdeen Tunnel Toll Plaza,"Java Road Municipal Building Complex,  Java Road",114.0,38.0,114.0,38.0
"Java Road Municipal Building Complex,  Java Road","Kodak house,  Java Road",114.0,38.0,114.0,38.0
"Kodak house,  Java Road",943-947 King^s Road,114.0,38.0,114.0,38.0
943-947 King^s Road,979 King^s Road,114.0,38.0,114.0,38.0
979 King^s Road,989-991 King^s Road,114.0,38.0,114.0,38.0
989-991 King^s Road,1031 King^s Road,114.0,38.0,114.0,38.0
1031 King^s Road,"Shipyard Lane,  Outside Eastern Centre",114.0,38.0,114.0,38.0
"Shipyard Lane,  Outside Eastern Centre","Shipyard Lane,  Outside Fortis Centre",114.0,38.0,114.0,38.0
"Shipyard Lane,  Outside Fortis Centre",1018-1024 King^s Road,114.0,38.0,114.0,38.0
1018-1024 King^s Road,"King^s Road,  Opposite to Cambridge House",114.0,38.0,114.0,38.0
"King^s Road,  Opposite to Cambridge House","King^s Road,  Outside North Point Government Primary School",114.0,38.0,114.0,38.0
"King^s Road,  Outside North Point Government Primary School","Model Housing Estate,  King^s Road",114.0,38.0,114.0,38.0
"Model Housing Estate,  King^s Road","King^s Road,  Outside No. 677",114.0,38.0,114.0,38.0
"King^s Road,  Outside No. 677","King^s Road,  Near Healthy Gardens",114.0,38.0,114.0,38.0
"King^s Road,  Near Healthy Gardens","Island Place,  King^s Road",114.0,38.0,114.0,38.0
"Island Place,  King^s Road","Ming Yuen Western Street,  King^s Road",114.0,38.0,114.0,38.0
"Ming Yuen Western Street,  King^s Road","King^s Road,  Outside New Trend Plaza",114.0,38.0,114.0,38.0
"King^s Road,  Outside New Trend Plaza","King^s Road,  Near Fortress Hill Station",114.0,38.0,114.0,38.0
"King^s Road,  Near Fortress Hill Station","King^s Road,  Near Tsing Fung Street Flyover",114.0,38.0,114.0,38.0
"King^s Road,  Near Tsing Fung Street Flyover","Wong Chuk Hang Road,  Aberdeen Sports Ground",114.0,38.0,114.0,38.0
"Aberdeen Praya Road,  Outside Aberdeen Promenade","Jumbo Pier,  Aberdeen Praya Road",304.0,95.0,276.8571429,95.0
"Jumbo Pier,  Aberdeen Praya Road","Tin Wan Street,  Aberdeen Praya Road",304.0,95.0,276.8571429,95.0
"Tin Wan Street,  Aberdeen Praya Road","Victoria Road,  Near Department Of Health Institute Of Immunology",304.0,95.0,276.8571429,95.0
"Victoria Road,  Near Department Of Health Institute Of Immunology","Bel-Air on the Peak,  Cyberport Road",114.0,38.0,114.0,38.0
"Bel-Air on the Peak,  Cyberport Road","Bel-air Phase 1,  Cyperport Road",304.0,95.0,276.8571429,95.0
"Bel-air Phase 1,  Cyperport Road",Cyberport Public Transport Interchange,114.0,38.0,114.0,38.0
Laguna City Public Transport Interchange,"Cha Kwo Ling Road,  Outside Laguna Arcade",171.0,114.0,171.0,114.0
"Cha Kwo Ling Road,  Outside Laguna Arcade","Concorde Road,  Near Kai Tak Operational Base",57.0,57.0,57.0,57.0
"Concorde Road,  Near Kai Tak Operational Base","Sung Wong Toi Road,  Near Parc 22",57.0,57.0,57.0,57.0
"Sung Wong Toi Road,  Near Parc 22","Ma Tau Chung Road,  Outside Argyle Street Playground",57.0,57.0,57.0,57.0
"Ma Tau Chung Road,  Outside Argyle Street Playground","No.373,  Prince Edward Road West",57.0,57.0,57.0,57.0
"No.373,  Prince Edward Road West","No.5,  Junction Road",57.0,57.0,57.0,57.0
"No.5,  Junction Road","Lion Rock Road,  Outside Chong Yip Building",57.0,57.0,57.0,57.0
"Lion Rock Road,  Outside Chong Yip Building","Prince Edward Road West,  Outside Kwok Hwa Building",57.0,57.0,57.0,57.0
"Prince Edward Road West,  Outside Kwok Hwa Building","Prince Edward Road East,  Outside Nga Tsin Wai Road Rest Garden",171.0,114.0,171.0,114.0
"Prince Edward Road East,  Outside Nga Tsin Wai Road Rest Garden","Prince Edward Road East,  Outside San Po Kong Magistracy",57.0,57.0,57.0,57.0
"Prince Edward Road East,  Outside San Po Kong Magistracy","Prince Edward Road East,  Outside Chiu Tat Factory Building",57.0,57.0,57.0,57.0
"Prince Edward Road East,  Outside Chiu Tat Factory Building","Cha Kwo Ling Road,  Outside Laguna City Phase I Commercial Complex",57.0,57.0,57.0,57.0
"Cha Kwo Ling Road,  Outside Laguna City Phase I Commercial Complex",Laguna City Public Transport Interchange,171.0,114.0,171.0,114.0
"Cha Kwo Ling Road,  Outside Laguna Arcade",Kwun Tong Wai Lok Street,114.0,57.0,114.0,57.0
Kwun Tong Wai Lok Street,Prince Edward Road East Opposite Rhythm Garden,114.0,57.0,114.0,57.0
"Prince Edward Road East,  opposite to the Latitude","opposite Regal Oriental Hotel,  Kowloon City",209.0,114.0,190.0,114.0
"opposite Regal Oriental Hotel,  Kowloon City","Sung Wong Toi Road,  Near Parc 22",114.0,57.0,114.0,57.0
"Sung Wong Toi Road,  Near Parc 22",Argyle Street Playground,114.0,57.0,114.0,57.0
Argyle Street Playground,Prince Edward Road West outside Lung Fuk Garden,114.0,57.0,114.0,57.0
Prince Edward Road West outside Lung Fuk Garden,Prince Eward Road West near Forfar Road,114.0,57.0,114.0,57.0
Prince Eward Road West outside St. Teresa^s Hospital,Prince Edward Road West No.305-07,114.0,57.0,114.0,57.0
Prince Edward Road West No.287,"Prince Edward Road West,  Outside Peace Garden",114.0,57.0,114.0,57.0
"Prince Edward Road West,  Outside Peace Garden","Prince Edward Road West,  Outside Grand Century Plaza",114.0,57.0,114.0,57.0
"Prince Edward Road West,  Outside Grand Century Plaza","Tung Choi Street,  Outside Mong Kok Police Station",114.0,57.0,114.0,57.0
"Tung Choi Street,  Outside Mong Kok Police Station","Boundary Street,  Opposite Newton Hotel Kowloon",114.0,57.0,114.0,57.0
"Boundary Street,  Opposite Newton Hotel Kowloon","Boundary Street,  outside Fa Hui Park",114.0,57.0,114.0,57.0
"Boundary Street,  outside Fa Hui Park",Boundary Street No. 117,114.0,57.0,114.0,57.0
Boundary Street No. 117,"Boundary Street,  outside La Salle Primary School",114.0,57.0,114.0,57.0
"Boundary Street,  outside La Salle Primary School","Boundary Street,  outside Beverly Villas",114.0,57.0,114.0,57.0
"Boundary Street,  outside Beverly Villas",Boundary Street No. 171,114.0,57.0,114.0,57.0
Boundary Street No. 171,"Prince Edward Road West,  Outside Kwok Hwa Building",114.0,57.0,114.0,57.0
"Prince Edward Road East,  Outside Nga Tsin Wai Road Rest Garden","Prince Edward Road East,  outside the Latitude",114.0,57.0,114.0,57.0
"Prince Edward Road East,  outside the Latitude","Prince Edward Road East,  Outside Chiu Tat Factory Building",114.0,57.0,114.0,57.0
"Prince Edward Road East,  Outside Chiu Tat Factory Building","Kwun Tong,  junction of Wai Yip Street and Wai Lok Street",114.0,57.0,114.0,57.0
"Kwun Tong,  junction of Wai Yip Street and Wai Lok Street","Cha Kwo Ling Road,  Outside Laguna City Phase I Commercial Complex",114.0,57.0,114.0,57.0
"Pai Tau Street,  outside Shatin Station","Shan Mei Street,  opposite Shatin Galleria",285.0,114.0,285.0,114.0
"Shan Mei Street,  opposite Shatin Galleria","Sui Wo Road,  Sui Wo Court Phase II",285.0,114.0,285.0,114.0
"Sui Wo Road,  Sui Wo Court Phase II","Sui Wo Road,  Scenery Garden,  Block C",285.0,114.0,285.0,114.0
"Sui Wo Road,  Scenery Garden,  Block C","Sui Wo Road,  Greenwood Terrace Block 25",285.0,114.0,285.0,114.0
"Sui Wo Road,  Greenwood Terrace Block 25","Sui Wo Road,  Ville de Jardin",342.0,171.0,342.0,171.0
"Sui Wo Road,  Ville de Jardin","Sui Wo Road,  outside Greenwood Terrace Block 25",285.0,114.0,285.0,114.0
"Sui Wo Road,  outside Greenwood Terrace Block 25","Sui Wo Road,  opposite Scenery Garden,  Block C",285.0,114.0,285.0,114.0
"Sui Wo Road,  opposite Scenery Garden,  Block C","Sui Wo Road,  Sui Wo Court Phase II",285.0,114.0,285.0,114.0
"Sui Wo Road,  Sui Wo Court Phase II","Shan Mei Street,  outside Shatin Galleria",285.0,114.0,285.0,114.0
"Shan Mei Street,  outside Shatin Galleria","Pai Tau Street,  outside Shatin Station",285.0,114.0,285.0,114.0
Cyberport Public Transport Interchange,"Cyberport Road,  Opposite to Cyberport 3",190.0,57.0,162.8571429,57.0
"Cyberport Road,  Opposite to Cyberport 3","Cyperport Road,  Opposite to Bel-air Phase 1",190.0,57.0,162.8571429,57.0
"Victoria Road,  Near Department Of Health Institute Of Immunology","Wah King Street,  Bus Terminus Outside Wah Chui House",190.0,57.0,162.8571429,57.0
"Wah King Street,  Bus Terminus Outside Wah Chui House","Shek Pai Wan Road,  Outside Man King Building",190.0,57.0,162.8571429,57.0
"Shek Pai Wan Road,  Outside Man King Building","Aberdeen Praya Road, Outside Aberdeen Bus Terminus",190.0,57.0,162.8571429,57.0
"Aberdeen Praya Road, Outside Aberdeen Bus Terminus","48-50 Aberdeen Main Road,  Outside Yip Yee Mansion",190.0,57.0,162.8571429,57.0
"Yip Kan Street,  Wong Chuk Hang Road",Aberdeen Tunnel Toll Plaza,190.0,57.0,162.8571429,57.0
Aberdeen Tunnel Toll Plaza,"Tsung Tsin Building,  Morrison Hill Road",190.0,57.0,162.8571429,57.0
"Tsung Tsin Building,  Morrison Hill Road",32 Morrison Hill Road,190.0,57.0,162.8571429,57.0
32 Morrison Hill Road,"Lockhart Road,  East Of Marsh Road",190.0,57.0,162.8571429,57.0
"Lockhart Road,  East Of Marsh Road","Lockhart Road,  Near Cannon Street",190.0,57.0,162.8571429,57.0
"Lockhart Road,  Near Cannon Street","Wong Chuk Hang Road,  Aberdeen Sports Ground",190.0,57.0,162.8571429,57.0
"Victoria Road,  Near Department Of Health Institute Of Immunology","Wah King Street,  Outside Wah Chui House",190.0,57.0,162.8571429,57.0
"Wah King Street,  Outside Wah Chui House","Bel-Air on the Peak,  Cyberport Road",190.0,57.0,162.8571429,57.0
"Bel-air Phase 1,  Cyperport Road",Cyberport Bus Terminus,190.0,57.0,162.8571429,57.0
"Plaza Hollywood,  Ground Floor","Fung Tak Road,  Outside Lung Shan House,  Lung Poon Court",285.0,95.0,142.5,95.0
"Fung Tak Road,  Outside Lung Shan House,  Lung Poon Court","Choi Hung Road,  Opposite Wong Tai Sin Divisional Police Station",285.0,95.0,142.5,95.0
"Choi Hung Road,  Opposite Wong Tai Sin Divisional Police Station","Choi Hung Road,  Bus Bay Opposite Kai Tak Garden",285.0,95.0,142.5,95.0
"Choi Hung Road,  Bus Bay Opposite Lok Sin Tong Wong Chung Ming Secondary School","Prince Edward Road East,  Near Sung Wong Toi Playground",285.0,95.0,142.5,95.0
"Prince Edward Road East,  Near Sung Wong Toi Playground","No.373,  Prince Edward Road West",285.0,95.0,142.5,95.0
"No.373,  Prince Edward Road West","Prince Edward Road West,  near Forfar Road",285.0,95.0,142.5,95.0
"Prince Edward Road West,  near Forfar Road","No.373,  Prince Edward Road West",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside St. Teresa^s Hospital","Prince Edward Road West,  near Forfar Road",285.0,95.0,142.5,95.0
"Prince Edward Road West,  near Forfar Road","Prince Edward Road West,  Outside Edwardian Heights Phase Ii",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Edwardian Heights Phase Ii","Prince Edward Road West,  Outside St. Teresa^s Hospital",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside St. Teresa^s Hospital","Prince Edward Road West,  Outside Peace Garden",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Peace Garden","Prince Edward Road West,  Outside Edwardian Heights Phase Ii",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Edwardian Heights Phase Ii","Prince Edward Road West,  Outside Peace Garden",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Peace Garden","Prince Edward Road West,  Outside Harita Court",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Harita Court","Tai Kok Tsui Road,  near Bedford Road",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  near Bedford Road","Prince Edward Road West,  Outside Harita Court",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Harita Court","Prince Edward Road West,  Outside Bijou Court",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Bijou Court","Tai Kok Tsui Road,  Opposite Tai Kung Building,  Tai Tung Sun Tseun",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Opposite Tai Kung Building,  Tai Tung Sun Tseun","Prince Edward Road West,  Outside Metropark Hotel",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Metropark Hotel","Tai Kok Tsui Road,  Outside New Kowloon Plaza",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside New Kowloon Plaza","Tung Chau Street,  Outside Cheong Hing Building",285.0,95.0,142.5,95.0
"Tung Chau Street,  Outside Cheong Hing Building","Cherry Street,  Outside Olympian City II",285.0,95.0,142.5,95.0
"Cherry Street,  Outside Olympian City II","Tung Chau Street,  Outside Cheong Hing Building",285.0,95.0,142.5,95.0
"Tung Chau Street,  Outside Cheong Hing Building","Tai Kok Tsui Road,  near Bedford Road",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  near Bedford Road","Hoi King Street,  Outside Hkbc Centre Tower 1",285.0,95.0,142.5,95.0
"Hoi King Street,  Outside Hkbc Centre Tower 1","Tai Kok Tsui Road,  Opposite Tai Kung Building,  Tai Tung Sun Tseun",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Opposite Tai Kung Building,  Tai Tung Sun Tseun","Sham Mong Road,  Outside Harbour Green",285.0,95.0,142.5,95.0
"Sham Mong Road,  Outside Harbour Green","Tai Kok Tsui Road,  Outside New Kowloon Plaza",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside New Kowloon Plaza","Hoi Fan Road,  Opposite Olympian City I",285.0,95.0,142.5,95.0
"Hoi Fan Road,  Opposite Olympian City I","Cherry Street,  Outside Olympian City II",285.0,95.0,142.5,95.0
"Cherry Street,  Outside Olympian City II",Hoi Fan Road near its junction with Hoi Fai Road,285.0,95.0,142.5,95.0
Hoi Fan Road near its junction with Hoi Fai Road,"Hoi King Street,  Outside Hkbc Centre Tower 1",285.0,95.0,142.5,95.0
"Hoi King Street,  Outside Hkbc Centre Tower 1",Tai Kok Tsui (Island Harbourview) Public Transport Interchange.,285.0,95.0,142.5,95.0
Tai Kok Tsui (Island Harbourview) Public Transport Interchange.,"Hoi King Street,  Outside Hkbc Centre Tower 1",285.0,95.0,142.5,95.0
"Hoi King Street,  Outside Hkbc Centre Tower 1","Sham Mong Road,  Outside Harbour Green",285.0,95.0,142.5,95.0
"Sham Mong Road,  Outside Harbour Green","Hoi Fan Road,  Opposite Olympian City I",285.0,95.0,142.5,95.0
"Hoi Fan Road,  Opposite Olympian City I",Hoi Fan Road near its junction with Hoi Fai Road,570.0,190.0,285.0,190.0
Hoi Fan Road near its junction with Hoi Fai Road,"Hoi Fa Road,  Outside Tai kok Tsui Catholic Primary School",285.0,95.0,142.5,95.0
Hoi Fan Road near its junction with Hoi Fai Road,"Yee Kuk Street,  Outside Shum Ming Building",285.0,95.0,142.5,95.0
"Yee Kuk Street,  Outside Shum Ming Building","Hoi Fa Road,  Outside Tai kok Tsui Catholic Primary School",285.0,95.0,142.5,95.0
"Hoi Fa Road,  Outside Tai kok Tsui Catholic Primary School","Sham Mong Road,  Opposite Harbour Green",285.0,95.0,142.5,95.0
"Sham Mong Road,  Opposite Harbour Green","Sham Mong Road,  Outside Hsbc Centre Tower 2",285.0,95.0,142.5,95.0
"Sham Mong Road,  Outside Hsbc Centre Tower 2","Sham Mong Road,  Opposite Harbour Green",285.0,95.0,142.5,95.0
"Sham Mong Road,  Opposite Harbour Green","No.13d Boundary Street ,  Opposite Nam Fung House",285.0,95.0,142.5,95.0
"No.13d Boundary Street ,  Opposite Nam Fung House",No.7 Tai Kok Tsui Road,285.0,95.0,142.5,95.0
No.7 Tai Kok Tsui Road,"Sham Mong Road,  Outside Hsbc Centre Tower 2",285.0,95.0,142.5,95.0
"Sham Mong Road,  Outside Hsbc Centre Tower 2","Yu Chau Street,  Opposite Wing Tai Building",285.0,95.0,142.5,95.0
"Yu Chau Street,  Opposite Wing Tai Building","Tai Kok Tsui Road,  Outside Hing Wong Mansion",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside Hing Wong Mansion",No.7 Tai Kok Tsui Road,285.0,95.0,142.5,95.0
No.7 Tai Kok Tsui Road,"Boundary Street,  Outside Hang Shun Building",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Hang Shun Building","Tai Kok Tsui Road,  Outside Tai Kung Building,  Tai Tung Sun Tseun",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside Tai Kung Building,  Tai Tung Sun Tseun","Tai Kok Tsui Road,  Outside Hing Wong Mansion",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside Hing Wong Mansion","Boundary Street,  Opposite Newton Hotel Kowloon",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Newton Hotel Kowloon","Tai Kok Tsui Road,  Outside Tai Kung Building,  Tai Tung Sun Tseun",285.0,95.0,142.5,95.0
"Tai Kok Tsui Road,  Outside Tai Kung Building,  Tai Tung Sun Tseun","Boundary Street,  Opposite Mong Kok Stadium",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Mong Kok Stadium",No.191 Tai Kok Tsui Road,285.0,95.0,142.5,95.0
No.191 Tai Kok Tsui Road,"Yee Kuk Street,  Outside Shum Ming Building",285.0,95.0,142.5,95.0
"Yee Kuk Street,  Outside Shum Ming Building","Boundary Street,  Outside Sun Island Primary School",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Sun Island Primary School","Boundary Street,  Opposite Overseas Court",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Overseas Court","Yee Kuk Street,  Outside Shum Ming Building",285.0,95.0,142.5,95.0
"Yee Kuk Street,  Outside Shum Ming Building","No.13d Boundary Street ,  Opposite Nam Fung House",285.0,95.0,142.5,95.0
"No.13d Boundary Street ,  Opposite Nam Fung House","Boundary Street,  Outside Block 6,  Beverly Villas",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Block 6,  Beverly Villas","Yu Chau Street,  Opposite Wing Tai Building",285.0,95.0,142.5,95.0
"Yu Chau Street,  Opposite Wing Tai Building","No.13d Boundary Street ,  Opposite Nam Fung House",285.0,95.0,142.5,95.0
"No.13d Boundary Street ,  Opposite Nam Fung House","Boundary Street,  Outside Hang Shun Building",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Hang Shun Building","Boundary Street,  Outside Lee^s Mansion",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Lee^s Mansion","Yu Chau Street,  Opposite Wing Tai Building",285.0,95.0,142.5,95.0
"Yu Chau Street,  Opposite Wing Tai Building","Boundary Street,  Opposite Newton Hotel Kowloon",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Newton Hotel Kowloon","Boundary Street,  Outside Hang Shun Building",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Hang Shun Building","Prince Edward Road West,  Outside Kwok Hwa Building",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Kwok Hwa Building","Boundary Street,  Opposite Newton Hotel Kowloon",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Newton Hotel Kowloon","Prince Edward Road East,  Opposite Kai Tak Government Building",285.0,95.0,142.5,95.0
"Prince Edward Road East,  Opposite Kai Tak Government Building","Boundary Street,  Opposite Mong Kok Stadium",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Mong Kok Stadium","Boundary Street,  Outside Sun Island Primary School",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Sun Island Primary School","Choi Hung Road,  Outside Ng Wah College",285.0,95.0,142.5,95.0
"Choi Hung Road,  Outside Ng Wah College","Choi Hung Road,  Opposite Po Hing Mansion",570.0,190.0,285.0,190.0
"Choi Hung Road,  Opposite Po Hing Mansion","Boundary Street,  Opposite Overseas Court",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Overseas Court","Boundary Street,  Outside Sun Island Primary School",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Sun Island Primary School","Boundary Street,  Outside Block 6,  Beverly Villas",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Block 6,  Beverly Villas","Boundary Street,  Opposite Overseas Court",285.0,95.0,142.5,95.0
"Boundary Street,  Opposite Overseas Court","Choi Hung Road,  Opposite San Po Kong Mansion",285.0,95.0,142.5,95.0
"Choi Hung Road,  Opposite San Po Kong Mansion","Choi Hung Road,  Outside Wong Tai Sin Divisional Police Station",570.0,190.0,285.0,190.0
"Choi Hung Road,  Outside Wong Tai Sin Divisional Police Station","Boundary Street,  Outside Lee^s Mansion",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Lee^s Mansion","Boundary Street,  Outside Block 6,  Beverly Villas",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Block 6,  Beverly Villas","Fung Tak Road,  Outside Ban Fung House",285.0,95.0,142.5,95.0
"Fung Tak Road,  Outside Ban Fung House","Prince Edward Road West,  Outside Kwok Hwa Building",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Kwok Hwa Building","Boundary Street,  Outside Lee^s Mansion",285.0,95.0,142.5,95.0
"Boundary Street,  Outside Lee^s Mansion","Plaza Hollywood,  Ground Floor",285.0,95.0,142.5,95.0
"Plaza Hollywood,  Ground Floor","Prince Edward Road West,  Outside Kwok Hwa Building",285.0,95.0,142.5,95.0
"Prince Edward Road West,  Outside Kwok Hwa Building","Prince Edward Road East,  Opposite Kai Tak Government Building",285.0,95.0,142.5,95.0
"Prince Edward Road East,  Opposite Kai Tak Government Building","Choi Hung Road,  Outside Ng Wah College",285.0,95.0,142.5,95.0
"Choi Hung Road,  Opposite Po Hing Mansion","Choi Hung Road,  Opposite San Po Kong Mansion",285.0,95.0,142.5,95.0
"Choi Hung Road,  Outside Wong Tai Sin Divisional Police Station","Choi Hung Road,  Opposite San Po Kong Mansion",285.0,95.0,142.5,95.0
"Choi Hung Road,  Opposite San Po Kong Mansion","Fung Tak Road,  Outside Ban Fung House",285.0,95.0,142.5,95.0
"Fung Tak Road,  Outside Ban Fung House","Choi Hung Road,  Outside Wong Tai Sin Divisional Police Station",285.0,95.0,142.5,95.0
"Choi Hung Road,  Outside Wong Tai Sin Divisional Police Station","Plaza Hollywood,  Ground Floor",285.0,95.0,142.5,95.0
"Plaza Hollywood,  Ground Floor","Fung Tak Road,  Outside Ban Fung House",285.0,95.0,142.5,95.0
"Fung Tak Road,  Outside Ban Fung House","Plaza Hollywood,  Ground Floor",285.0,95.0,142.5,95.0
Tai Hing Building,"Castle Peak Road-Yuen Long,  Outside Kam Fung Building",76.0,76.0,76.0,76.0
"Castle Peak Road-Yuen Long,  Outside Yuen Long Tung Shing Lei Road",Junction of Kam Tin Road and Kam Sheung Road,152.0,133.0,152.0,133.0
Junction of Kam Tin Road and Kam Sheung Road,Kam Sheung Road Station Public Transport Interchange,152.0,133.0,152.0,133.0
Kam Sheung Road Station Public Transport Interchange,"Pat Heung Road,  near Tai Lam Bus-bus Interchange",152.0,121.6,152.0,121.6
"Pat Heung Road,  near Tai Lam Bus-bus Interchange","Ho Pui,  Outside Yuk Ying School",76.0,76.0,76.0,76.0
"Ho Pui,  Outside Yuk Ying School","Pat Heung Road,  near Tai Lam Bus-bus Interchange",76.0,76.0,76.0,76.0
"Pat Heung Road,  near Tai Lam Bus-bus Interchange",Kam Sheung Road Station Public Transport Interchange,76.0,76.0,76.0,76.0
Kam Sheung Road Station Public Transport Interchange,Junction of Kam Tin Road and Kam Sheung Road,228.0,178.6,228.0,178.6
Junction of Kam Tin Road and Kam Sheung Road,"West of Au Tau Interchange,  near Yeung Uk Tsuen",152.0,133.0,152.0,133.0
"West of Au Tau Interchange,  near Yeung Uk Tsuen","Castle Peak Road-Yuen Long,  Opposite Sun Kong Hotel",152.0,133.0,152.0,133.0
"Castle Peak Road-Yuen Long,  Opposite Sun Kong Hotel","Castle Peak Road-Yuen Long,  Opposite to Tung Tau Tsuen",228.0,190.0,228.0,190.0
"Castle Peak Road-Yuen Long,  Opposite to Tung Tau Tsuen",No.32 Castle Peak Road-Yuen Long,228.0,190.0,228.0,190.0
No.32 Castle Peak Road-Yuen Long,No.108 Castle Peak Road-Yuen Long,228.0,190.0,228.0,190.0
No.108 Castle Peak Road-Yuen Long,Tai Hing Building,152.0,133.0,152.0,133.0
"Sau Mau Ping,  Po Tat Estate Public Light Bus Terminus,  Outside Tat Tsui House","Lei Yue Mun Road,  Sceneway Garden Public Transport Terminus",285.0,126.6666667,285.0,126.6666667
"Lei Yue Mun Road,  Sceneway Garden Public Transport Terminus","Tseung Kwan O Road,  Outside Kwun Tong Recreation Ground",475.0,240.6666667,475.0,240.6666667
"Tseung Kwan O Road,  Outside Kwun Tong Recreation Ground","Sau Mau Ping Road,  Outside Sau Mau Ping Estate Redevelopment Project",475.0,240.6666667,475.0,240.6666667
"Sau Mau Ping Road,  Outside Sau Mau Ping Estate Redevelopment Project","Sau Mau Ping,  Po Tat Estate Public Light Bus Terminus,  Outside Tat Tsui House",285.0,126.6666667,285.0,126.6666667
"Sau Fung Street,  Outside Sau Chi House,  Sau Mau Ping Estate","Lei Yue Mun Road,  Sceneway Garden Public Transport Terminus",190.0,114.0,190.0,114.0
"Sau Mau Ping Road,  Outside Sau Mau Ping Estate Redevelopment Project","Sau Mau Ping Road,  Outside Sau Ming Primary School",190.0,114.0,190.0,114.0
"Sau Mau Ping Road,  Outside Sau Ming Primary School","Sau Fung Street,  Outside Sau Chi House,  Sau Mau Ping Estate",190.0,114.0,190.0,114.0
"Grand View Garden,  Outside Tower 5","Hammer Hill Road,  Outside East Kowloon Chest Clinic",190.0,126.6666667,190.0,126.6666667
"Hammer Hill Road,  Outside East Kowloon Chest Clinic","Fung Tak Road,  Outside Tower A,  Galaxia",190.0,126.6666667,190.0,126.6666667
"Fung Tak Road,  Outside Tower A,  Galaxia","Fung Tak Road,  Outside Lung Shan House,  Lung Poon Court",190.0,126.6666667,190.0,126.6666667
"Fung Tak Road,  Outside Lung Shan House,  Lung Poon Court","Fung Tak Road,  Outside Fung Tak Park",190.0,126.6666667,190.0,126.6666667
"Fung Tak Road,  Outside Fung Tak Park","Wong Tai Sin Road,  Outside Wong Tai Sin Temple",190.0,126.6666667,190.0,126.6666667
