route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2293_1,162.8571429,76,162.8571429,76
2293_2,162.8571429,76,162.8571429,76
2002187_1,228,76,228,76
2002187_2,228,76,228,76
2002196_1,228,190,228,190
2002196_2,228,190,228,190
2001230_1,190,57,190,57
2001230_2,190,57,190,57
2001231_1,95,76,76,76
2001231_2,95,76,76,76
2001232_1,190,57,190,57
2001232_2,190,57,190,57
2001229_1,190,76,190,142.5
2001229_2,190,76,190,142.5
2001233_1,228,114,142.5,114
2001233_2,228,114,142.5,114
2750_1,87.69230769,76,87.69230769,76
2750_2,87.69230769,76,87.69230769,76
2396_1,38,38,38,38
2396_2,38,38,38,38
2001557_1,142.5,114,76,76
2001557_2,142.5,114,76,76
2748_1,190,45.6,190,45.6
2748_2,190,45.6,190,45.6
2397_1,190,76,190,76
2397_2,190,76,190,76
2618_1,142.5,142.5,142.5,142.5
2618_2,142.5,142.5,142.5,142.5
2454_1,57,57,57,57
2454_2,57,57,57,57
2830_1,142.5,57,142.5,57
2830_2,142.5,57,142.5,57
2854_1,228,142.5,142.5,114
2854_2,228,142.5,142.5,114
2756_1,114,45.6,114,45.6
2756_2,114,45.6,114,45.6
2757_1,76,45.6,76,45.6
2757_2,76,45.6,76,45.6
2835_1,76,76,76,76
2835_2,76,76,76,76
2001755_1,162.8571429,142.5,162.8571429,142.5
2001755_2,162.8571429,142.5,162.8571429,142.5
2295_1,95,57,114,57
2295_2,95,57,114,57
2001558_1,76,38,76,38
2001558_2,76,38,76,38
2297_1,95,57,95,57
2297_2,95,57,95,57
2184_1,114,95,114,95
2184_2,114,95,114,95
2735_1,142.5,38,142.5,45.6
2735_2,142.5,38,142.5,45.6
2183_1,95,95,95,95
2183_2,95,95,95,95
2000964_1,162.8571429,71.25,162.8571429,71.25
2000964_2,162.8571429,71.25,162.8571429,71.25
2299_1,76,38,76,38
2299_2,76,38,76,38
2500021_1,142.5,57,142.5,57
2500021_2,142.5,57,142.5,57
2300_1,114,57,114,57
2300_2,114,57,114,57
2302_1,228,57,228,57
2302_2,228,57,228,57
2733_1,57,57,57,57
2733_2,57,57,57,57
2303_1,142.5,114,114,114
2303_2,142.5,114,114,114
2304_1,126.6666667,57,76,57
2304_2,126.6666667,57,76,57
2638_1,190,114,190,114
2638_2,190,114,190,114
2305_1,285,114,142.5,142.5
2305_2,285,114,142.5,142.5
2734_1,95,57,76,57
2734_2,95,57,76,57
2306_1,190,76,190,76
2306_2,190,76,190,76
2737_1,76,38,76,38
2737_2,76,38,76,38
2308_1,228,76,228,76
2308_2,228,76,228,76
2309_1,190,95,114,95
2309_2,190,95,114,95
2310_1,380,228,380,228
2310_2,380,228,380,228
2717_1,228,126.6666667,0,0
2717_2,228,126.6666667,0,0
2640_1,285,76,142.5,76
2640_2,285,76,142.5,76
2908_1,76,76,76,76
2908_2,76,76,76,76
2313_1,228,114,228,114
2313_2,228,114,228,114
2001031_1,95,76,95,76
2001031_2,95,76,95,76
2314_1,142.5,63.33333333,142.5,63.33333333
2314_2,142.5,63.33333333,142.5,63.33333333
2000974_1,95,57,95,57
2000974_2,95,57,95,57
2436_1,114,95,114,95
2436_2,114,95,114,95
2001035_1,57,38,57,38
2001035_2,57,38,57,38
2315_1,228,76,228,76
2315_2,228,76,228,76
2457_1,76,76,76,76
2457_2,76,76,76,76
2515_1,228,76,228,76
2515_2,228,76,228,76
2806_1,142.5,114,142.5,114
2806_2,142.5,114,142.5,114
2500013_1,228,103.6363636,190,114
2500013_2,228,103.6363636,190,114
2686_1,114,76,114,76
2686_2,114,76,114,76
2002548_1,38,38,38,38
2002548_2,38,38,38,38
2930_1,38,38,57,57
2930_2,38,38,57,57
2316_1,285,190,190,190
2316_2,285,190,190,190
2317_1,190,57,190,57
2317_2,190,57,190,57
2318_1,228,87.69230769,142.5,114
2318_2,228,87.69230769,142.5,114
2688_1,126.6666667,76,126.6666667,76
2688_2,126.6666667,76,126.6666667,76
2320_1,228,114,142.5,114
2320_2,228,114,142.5,114
2321_1,190,76,76,76
2321_2,190,76,76,76
2332_1,76,45.6,76,45.6
2332_2,76,45.6,76,45.6
2322_1,142.5,76,76,76
2322_2,142.5,76,76,76
2323_1,114,76,114,76
2323_2,114,76,114,76
2324_1,76,76,76,76
2324_2,76,76,76,76
2325_1,228,114,228,114
2325_2,228,114,228,114
2326_1,162.8571429,76,162.8571429,76
2326_2,162.8571429,76,162.8571429,76
2516_1,114,38,57,38
2516_2,114,38,57,38
2327_1,570,76,570,76
2327_2,570,76,570,76
2328_1,190,114,190,114
2328_2,190,114,190,114
2329_1,76,76,114,76
2329_2,76,76,114,76
2330_1,570,95,570,95
2330_2,570,95,570,95
2452_1,76,76,76,76
2452_2,76,76,76,76
2331_1,190,76,190,76
2331_2,190,76,190,76
2333_1,190,57,114,76
2333_2,190,57,114,76
2699_1,114,114,114,114
2699_2,114,114,114,114
2336_1,114,76,114,76
