stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
Po Yap Road opposite to Tseung Kwan O Station,190.0,142.5,190.0,76.0
"Tong Yin Street,  Outside Tseung Kwan O Catholic Primary School",190.0,142.5,190.0,76.0
"King Ling Road,  Choi Ming Court Choi Fu House",190.0,142.5,190.0,76.0
"Chui Ling Road,  Kin Ming Estate",190.0,142.5,190.0,76.0
"Chui Ling Road,  Hong Kong Chinese Christian Churches Union Logos Academy",190.0,142.5,190.0,76.0
"Chui Ling Road,  outside Shin Ming Estate",190.0,142.5,190.0,76.0
"Chui Ling Road,  opposite to Ocean Shores",190.0,142.5,190.0,76.0
"Pung Loi Road,  near Oscar by the Sea Block 5",380.0,228.0,380.0,45.6
"Chung Wa Road,  Opposite Block 3,  East Point City",1292.0,425.6,1292.0,243.20000000000002
"GMB stand at Ming Shing Street,  opposite to East Point City",380.0,228.0,380.0,45.6
"Po Ning Road,  outside Hang Hau (North) Public Transport Interchange",380.0,228.0,380.0,45.6
"Yuk Nga Lane,  Outside Yan Chai Hospital Lan Chi Pat Memorial Secondary School",380.0,162.8571429,380.0,228.0
"Mau Yip Road,  Opposite Metro City Phase 3 The Metropolis",874.0,295.8571429,874.0,361.0
"Wan Lung Road,  near Tseung Kwan O Library",380.0,162.8571429,380.0,228.0
"Kwun Tong Road,  Outside Kwun Tong Industrial Centre Phase 2",380.0,162.8571429,380.0,228.0
Tung Yan Street Temporary Public Light Bus Terminus,817.0,334.02236029000005,817.0,399.16521739
"Tseung Kwan O Road,  opposite Kwun Tong Police Station",456.0,212.42236029000003,456.0,277.56521739
"Wan Hang Road,  Outside Tower 5,  Metro City Phase 1",380.0,162.8571429,380.0,228.0
"Mau Tai Road,  Outside Block 1,  Metro City Phase 1",380.0,162.8571429,380.0,228.0
To Lok Road near Serenity Place,380.0,162.8571429,380.0,228.0
"Ting Wo Lane,  Near Hang Hau Village",456.0,98.8,456.0,98.8
"Hang Hau Road,  Near Junk Bay Villa",608.0,174.8,646.0,174.8
"Fei Fung House,  Choi Wan Estate",456.0,98.8,456.0,98.8
Hong Kong University of Science and Technology (North Station),836.0,241.3,618.8571429,225.4666667
Tiu Keng Leng Station Public Transport Interchange,418.0,190.0,418.0,190.0
"Tong Chun Street,  opposite to Buddhist Chi Lin Primary School",190.0,76.0,190.0,76.0
"Wang Chiu Road,  opposite to Exchange Tower",389.5,228.0,389.5,209.0
"Trademart Drive,  outside ITEC",332.5,171.0,332.5,152.0
Kai Cheung Road outside Shun Wo Centre,190.0,76.0,190.0,76.0
Prince Edward Road East near Skymaster Drive Bus Stop,76.0,38.0,76.0,38.0
Prince Edward Road West outside Lung Fuk Garden,190.0,95.0,190.0,95.0
Prince Edward Road West outside Spring House near St. Teresa?????s Hospital,76.0,38.0,76.0,38.0
Waterloo Road outside Lai Ho Court near Kowloon Hospital,76.0,38.0,76.0,38.0
"Argyle Street,  near Hospital Authority Building",76.0,38.0,76.0,38.0
"Argyle Street,  near Kowloon City Court House",76.0,38.0,76.0,38.0
Lomond Road,228.0,152.0,228.0,129.2
Prince Edward Road West near Nga Tsin Long Road,76.0,38.0,76.0,38.0
"Prince Edward Road East,  Outside Regal Oriental Hotel Hong Kong",836.0,266.0,456.0,190.0
"Kai Cheung Road,  outside DCH Motors",190.0,76.0,190.0,76.0
Wang Kwong Road near Big Star Centre,190.0,76.0,190.0,76.0
"Sheung Yee Road,  outside CIC Training Academy Traning Ground",190.0,76.0,190.0,76.0
"Tong Ming Street,  outside Sheung Tak Estate",190.0,76.0,190.0,76.0
"Po Yap Road,  opposite to Tseung Kwan O Plaza",190.0,76.0,190.0,76.0
No.30 Tseuk Luk Street,285.0,190.0,285.0,152.0
"Po Lam Road North,  Outside Yan Ming Court Commercial Complex",142.5,95.0,142.5,76.0
"Choi Hung Road,  Wong Tai Sin Police Station",285.0,190.0,285.0,152.0
"Choi Hung Road,  Opposite Chinachem Industrial Mansion",285.0,190.0,285.0,152.0
"Choi Hung Road,  Opposite Rhythm Garden",285.0,190.0,285.0,152.0
"Po Lam Road North,  near Tsui Lam Estate",484.5,323.0,484.5,304.0
"Choi Hung Estate access road,  near Pik Hoi House Choi Hung Estate",285.0,190.0,285.0,152.0
"Po Lam Road North,  Opposite Hong Sing Garden Bus Terminus",142.5,95.0,142.5,76.0
"Prince Edward Road Easr,  Near Ping Shek",285.0,190.0,285.0,152.0
"Po Lam Road,  Near Ma Yau Tong",332.5,220.56521739,332.5,201.56521739
"Kai Cheung Road,  near DCH Motors",285.0,190.0,285.0,152.0
"Po Lam Road,  outside Po Tat Estate",579.5,391.56521739,579.5,372.56521739
"Sau Mau Ping Road,  Outside Sau Fai House",342.0,228.0,342.0,190.0
"Po Lam Road,  opposite Po Tat Estate",285.0,190.0,285.0,152.0
"Kai Cheung Road,  Hong Kong Auxiliary Police Headquarters",142.5,95.0,142.5,76.0
Po Lam Road near Ma Yau Tong,589.0,391.56521739,589.0,353.56521739
"Po Lam Road,  opposite Mau Wu Tsai",285.0,190.0,285.0,152.0
No.228 Choi Hung Road,142.5,95.0,142.5,76.0
Tai Yau Street No.25,142.5,95.0,142.5,76.0
"Po Lam Road North,  near Po Lam Fire Station",285.0,190.0,285.0,152.0
Wang Kwong Road near Lam Wah Street,142.5,95.0,142.5,76.0
Sheung Yee Road southbound near CIC Zero Carbon Building,294.5,209.0,294.5,190.0
LOHAS Park Public Transport Interchange,475.0,171.0,475.0,171.0
Bus lay-by at Wan Po Road opposite to The Capitol,380.0,133.0,380.0,133.0
The Beaumount,570.0,209.0,570.0,209.0
Bus lay-by at Wan Po Road outside The Capitol,475.0,171.0,475.0,171.0
Tseung Kwan O Industrial Estate Public Transport Terminus,95.0,38.0,95.0,38.0
Chun Choi Street outside TVB City,190.0,76.0,190.0,76.0
Chun Yat Street opposite to Exhibition Services & Logistics Centre,190.0,76.0,190.0,76.0
Bus lay-by at Wan Po Road outside Le Prestige,95.0,38.0,95.0,38.0
LOHAS Park (Phase 2),95.0,38.0,95.0,38.0
Bus lay-by at Wan Po Road opposite to Le Prestige,95.0,38.0,95.0,38.0
Chun Kwong Street outside Next Media,95.0,38.0,95.0,38.0
Choi Ming Street outside Choi Kwai Court,228.0,114.0,228.0,114.0
Po Yap Road outside Park Central,228.0,114.0,228.0,114.0
Tong Yin Street outside Alto Residences,228.0,114.0,228.0,114.0
"Chung Wa Road,  Outside Block 3,  East Point City",380.0,142.5,162.8571429,126.6666667
"Ting Wo Lane,  near Hang Hau Village",76.0,22.8,76.0,22.8
Davis Street,570.0,391.69230769,475.0,391.69230769
"Opposite to Praya Kennedy Town,  house nos. 20-21",380.0,152.0,190.0,152.0
"Des Voeux Road West,  Eastern End Of Hong Kong Plaza",380.0,152.0,190.0,152.0
Des Voeux Road West outside Kwan Yick Building Phase 2,380.0,152.0,190.0,152.0
Centre Street opposite Pacific Hotel,380.0,152.0,190.0,152.0
High Street opposite Sai Ying un Community Complex,380.0,152.0,190.0,152.0
Centre Street outside Centre Street Market,380.0,152.0,190.0,152.0
No.300 Queen^s Road West,380.0,152.0,190.0,152.0
No.414 Queen^s Road West,494.0,190.0,304.0,190.0
No.520 Queen^s Road West,494.0,190.0,304.0,190.0
No.524 Queen^s Road West,494.0,190.0,304.0,190.0
No.24 Belcher^s Street,380.0,152.0,190.0,152.0
No.46 Belcher^s Street,494.0,190.0,304.0,190.0
No.82 Belcher^s Street,494.0,190.0,304.0,190.0
No.122 Belcher^s Street,494.0,190.0,304.0,190.0
Kwun Lung Lau,190.0,76.0,95.0,76.0
No.71 Catchick Street,304.0,114.0,209.0,114.0
Kennedy Town Praya outside Belcher Bay Park,190.0,76.0,95.0,76.0
No.12F-G Smithfield,304.0,114.0,209.0,114.0
No.12Q-R Smithfield,304.0,114.0,209.0,114.0
