"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"240","10",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","15",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","20",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","30",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","240",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"240","250",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","260",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","265",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","920",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","40",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","50",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","60",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","70",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","170",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","180",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","190",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","200",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","212",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","270",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","275",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","280",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"240","295",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","300",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"240","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
